category_id,category_name
1,drinks/non-alcoholic
2,home/maintenence
3,drinks/mineral-water
4,dairy/joghurts
5,fruits-veg/vegetable
6,eating
7,home/accessories
8,health/vitamins-ointments
9,dairy/milk
10,basic/oil-acid-grease
11,drinks/beer
12,dairy/butter
13,basic/sauces
14,basic/spread
15,dairy/cream
16,meat/meat
17,fruits-veg/fruit
18,free-time/books-news-magazines
19,drinks/alcohol
20,dairy/cheese
21,drinks/wine
22,basic/soy-products
23,fruits-veg/dried-nuts
24,dairy/eggs
25,fashion/clothes
26,pastry/salty
27,drugstore/hygiene
28,other
29,meat/deli
30,basic/baking
31,snacks/salty
32,snacks/sweet
33,meat/meat-products
34,frozen/instant
35,health/medical-supplies
36,home/decorations
37,free-time/other
38,meat/fish
39,pastry/sweet
40,dairy/lact-free
41,pastry/basic
42,meat/smoked
43,basic/pasta
44,pets
45,home/office
46,home/cleaning
47,baby/supplies-hygiene
48,drinks/juice
49,home/plants-garden
50,baby/food
51,basic/canned-fruits-vegetable
52,basic/tea-coffee-soups
53,free-time/toys
54,basic/instant
55,hazard
56,basic/sugar-flour-rice
57,auto/care
58,basic/canned-fish
59,basic/flavoring
60,pastry/other
61,basic/wheat-legumes
62,drugstore/beauty
63,health/lady
64,frozen/sweet
65,basic/morning
66,basic/jams-marmelade-honey
67,baby/fake-food
68,home/laundry
69,frozen/fruit-vegetable
70,basic/spices
71,auto/fuel
72,free-time/visual
73,home/bags
74,drugstore/dental
75,drinks/non-alcoholic-beer
76,free-time/news-magazines
77,health/sex
78,frozen/meat
79,seasonal
80,fashion/kids
81,dairy/condensed-milk
82,free-time/sport
